data_date,org_code,elec_type,data_value,trade_code
2022-04-01,32401,1,829937192,U
2022-04-01,32402,1,575514678,U
2022-04-01,32403,1,510230813,U
2022-04-01,32404,1,395771455,U
2022-04-01,32405,1,1091686087,U
2022-04-01,32406,1,613496188,U
2022-04-01,32407,1,251872057,U
2022-04-01,32408,1,267960975,U
2022-04-01,32409,1,428438157,U
2022-04-01,32410,1,308505159,U
2022-04-01,32411,1,231799849,U
2022-04-01,32412,1,304568851,U
2022-04-01,32413,1,263213906,U
2022-05-01,32401,1,854451444,U
2022-05-01,32402,1,571751445,U
2022-05-01,32403,1,546652429,U
2022-05-01,32404,1,400775508,U
2022-05-01,32405,1,1071002705,U
2022-05-01,32406,1,609465530,U
2022-05-01,32407,1,266995336,U
2022-05-01,32408,1,276010799,U
2022-05-01,32409,1,433250696,U
2022-05-01,32410,1,308792731,U
2022-05-01,32411,1,235133258,U
2022-05-01,32412,1,302978747,U
2022-05-01,32413,1,278628337,U
2019-01-01,32401,2,25971512,U
2019-01-01,32402,2,11178933,U
2019-01-01,32403,2,47777881,U
2019-01-01,32404,2,17336052,U
2019-01-01,32405,2,18898276,U
2019-01-01,32406,2,45359264,U
2019-01-01,32407,2,38015935,U
2019-01-01,32408,2,29746416,U
2019-01-01,32409,2,63067580,U
2019-01-01,32410,2,22749511,U
2019-01-01,32411,2,11450373,U
2019-01-01,32412,2,26898237,U
2019-01-01,32413,2,36068147,U
2019-02-01,32401,2,20446108,U
2019-02-01,32402,2,7579295,U
2019-02-01,32403,2,38332604,U
2019-02-01,32404,2,12492893,U
2019-02-01,32405,2,14597302,U
2019-02-01,32406,2,41712014,U
2019-02-01,32407,2,36514934,U
2019-02-01,32408,2,23193818,U
2019-02-01,32409,2,54173897,U
2019-02-01,32410,2,16735163,U
2019-02-01,32411,2,8178321,U
2019-02-01,32412,2,20196679,U
2019-02-01,32413,2,29502492,U
2019-03-01,32401,2,27200006,U
2019-03-01,32402,2,7980713,U
2019-03-01,32403,2,37792143,U
2019-03-01,32404,2,13205918,U
2019-03-01,32405,2,15786245,U
2019-03-01,32406,2,54007670,U
2019-03-01,32407,2,34929161,U
2019-03-01,32408,2,25060749,U
2019-03-01,32409,2,57851046,U
2019-03-01,32410,2,24652137,U
2019-03-01,32411,2,8634601,U
2019-03-01,32412,2,23737736,U
2019-03-01,32413,2,29607962,U
2019-04-01,32401,2,19820523,U
2019-04-01,32402,2,10518193,U
